권역,혼잡빈도강도(%),혼잡시간강도(%)
종로구,66,78
중구,51,71
용산구,54,67
성동구,58,74
광진구,73,83
동대문구,58,73
중랑구,68,79
성북구,67,79
강북구,54,70
도봉구,54,70
노원구,64,76
은평구,67,79
서대문구,76,85
마포구,72,82
양천구,44,62
강서구,64,75
구로구,57,71
금천구,63,74
영등포구,57,71
동작구,57,71
관악구,42,58
서초구,62,75
강남구,61,76
송파구,54,69
강동구,67,78
