시군구,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
강남구,246.0,465.0,540.0,609.0,591.0,637.0,676.0,495.0,409.0
강동구,93.0,139.0,182.0,154.0,221.0,207.0,206.0,126.0,84.0
강북구,60.0,95.0,136.0,140.0,152.0,128.0,187.0,105.0,92.0
강서구,122.0,227.0,194.0,208.0,269.0,267.0,281.0,194.0,156.0
관악구,68.0,115.0,127.0,127.0,129.0,145.0,162.0,106.0,110.0
광진구,49.0,102.0,109.0,61.0,95.0,130.0,110.0,96.0,60.0
구로구,57.0,195.0,200.0,202.0,206.0,246.0,268.0,161.0,126.0
금천구,46.0,127.0,138.0,115.0,135.0,160.0,199.0,87.0,104.0
노원구,87.0,186.0,187.0,210.0,231.0,254.0,235.0,178.0,112.0
도봉구,25.0,57.0,77.0,89.0,70.0,78.0,101.0,81.0,39.0
동대문구,100.0,237.0,230.0,263.0,249.0,279.0,252.0,157.0,129.0
동작구,80.0,181.0,163.0,172.0,177.0,212.0,218.0,157.0,130.0
마포구,89.0,173.0,157.0,216.0,182.0,169.0,196.0,170.0,146.0
서대문구,74.0,130.0,134.0,142.0,132.0,147.0,159.0,113.0,96.0
서초구,140.0,366.0,428.0,400.0,360.0,401.0,436.0,252.0,237.0
성동구,61.0,119.0,114.0,142.0,153.0,152.0,166.0,92.0,95.0
성북구,63.0,180.0,173.0,175.0,180.0,208.0,212.0,152.0,111.0
송파구,196.0,343.0,354.0,410.0,392.0,453.0,501.0,347.0,285.0
양천구,120.0,179.0,167.0,182.0,179.0,199.0,225.0,141.0,107.0
영등포구,136.0,281.0,246.0,264.0,284.0,301.0,337.0,256.0,225.0
용산구,70.0,103.0,137.0,136.0,154.0,165.0,183.0,159.0,104.0
은평구,81.0,143.0,125.0,125.0,162.0,165.0,180.0,138.0,99.0
종로구,45.0,120.0,132.0,162.0,168.0,140.0,174.0,128.0,122.0
중구,40.0,111.0,111.0,126.0,153.0,187.0,145.0,121.0,87.0
중랑구,63.0,170.0,155.0,178.0,206.0,236.0,223.0,197.0,112.0
